Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Management Trainee Human Resources,Confidential,0 to 4 Yrs,,Haryana,5,days,"['Recruitment Onboarding', 'MS Excel', 'Communication skills', 'Employee lifecycle management', 'HR systemstools', 'Analytical mindset']"
Customer Success / Client Support Intern,COLEDA B2B,0 to 4 Yrs,,Pune,5,days,"['Interpersonal skills Relationship management', 'Excellent communication', 'Problemsolving', 'Multitasking', 'Client success', 'MSExcel']"
Fast API Intern,Yahweh Technologies,0 to 4 Yrs,,All India,5,days,"['Python SQL', 'NoSQL', 'ORMs', 'Git', 'Docker', 'Fast API', 'RESTful API design', 'CICD', 'Pytest']"
Jr. Software Test Engineer Manual Testing,Wab It Solutions,0 to 4 Yrs,,All India,5,days,"['Manual Testing Test Cases', 'Report Generation', 'QA  QC Certificates']"
Content Writer,Infinitive Host Technologies Pvt Ltd,0 to 4 Yrs,,Jaipur,5,days,"['Web Content Writing Writing', 'Proofreading', 'Research', 'Communication', 'Content Strategies']"
Operations Analyst (Field Executive) - Male Only,Assetcues,1 to 5 Yrs,,All India,5,days,"['Project ManagementAsset Auditing', 'Barcodes', 'Field Executive', 'Travelling']"
Senior Software Engineer,Monalisa Group of Services,5 to 9 Yrs,,Navi Mumbai,5,days,"['C Entity Framework', 'Oracle database', 'JavaScript', 'JQuery', 'SDLC', 'ASPNET MVC']"
HR Lead,Inspire Clean Energy,2 to 10 Yrs,,Maharashtra,5,days,"['Talent Acquisition Employee Retention', 'Engagement', 'Communication', 'Interpersonal Skills', 'Stakeholder Management', 'Labor Laws', 'Compliance', 'People Policies', 'Culture Initiatives', 'HR Best Practices']"
Commercial Officer (Solar EPC)- Procurement,JK Enterprises,2 to 6 Yrs,,Maharashtra,5,days,"['Sourcing Procurement', 'MMS', 'Cables', 'HT panels', 'Transformers', 'SCADA', 'WMS', 'Vendor management', 'Negotiation', 'Purchase Orders', 'Service Orders', 'Renewable items', 'Solar modules', 'DWC pipes', 'Solar BOS items']"
KDB System Developer,VERTO,2 to 6 Yrs,,Telangana,5,days,"['C SQL', 'Python', 'Azure DevOps', 'QKDB', 'Microsoft Fabric']"
Customer Service Executive (Internship),Oddgrab,0 to 4 Yrs,,Muzaffarnagar,5,days,"['Strong communication skillsProficiency in English', 'Good messaging etiquette', 'Telephone manners', 'Organizational skills', 'Time management skills', 'Ability to multitask']"
CNC Router Service Engineer,WFA,2 to 6 Yrs,,All India,5,days,"['Preventive Maintenance Customer service', 'Communication skills', 'Installation', 'Commissioning', 'Troubleshooting', 'Repairs', 'Customer Training', 'Diagnosing technical issues', 'Reading blueprints', 'Understanding machine setups', 'Knowledge of mechanical', 'electrical', 'software components']"
Video Content Creator / Influencer,Paradiso Software Pvt. Ltd,0 to 4 Yrs,,All India,5,days,"['Verbal Communication Video Editing', 'Influencer Marketing', 'Presentation Skills', 'Video Content Creation']"
Interior Designer,KW GROUP,5 to 9 Yrs,,Noida,5,days,"['Interior Design Market Knowledge', 'Material Selection', 'Furniture', 'Materials', 'AutoCAD', 'SketchUp', 'Adobe Creative Suite', 'Space Planning', 'Building Codes', 'Client Handling', 'Vendor Coordination', 'Design Expertise', 'Project Experience', 'Finishes', 'ProblemSolving']"
App Graphics & Content Creator,Ecommerce,1 to 5 Yrs,,Lucknow,5,days,"['Photoshop Illustrator', 'video editing', 'photo editing', 'Canva']"
HR Recruiter (Freshers),O3Hire,0 to 4 Yrs,,Rajasthan,5,days,"['Interpersonal skillsGood communication', 'Hardworking', 'Gogetter attitude']"
MPT Physiotherapy Intern,Stance Health,0 to 3 Yrs,,Karnataka,5,days,"['MPT Physiotherapy', 'Musculoskeletal', 'Orthopaedic', 'Rehabilitation care']"
Airline Ticketing executive,vackaso travels,2 to 6 Yrs,,Hyderabad,5,days,"['Air Ticketing Amadeus', 'Galileo', 'Refunds', 'Customer service', 'GDS platforms', 'Sabre', 'Fare calculations', 'Itinerary planning']"
L2 Support,Myliara,5 to 9 Yrs,,All India,5,days,"['New Relic Google Analytics', 'Python', 'Bash', 'JavaScript', 'Google Lighthouse', 'Scrpting']"
Junior Document Controller,Eljo Solutions Pvt Ltd,1 to 5 Yrs,,Kochi,5,days,"['Interpersonal skillsKnowledge of Aconex', 'other electronics submissions', 'Data organization skills', 'Creating', 'implementing controlled document processes', 'Strong oral', 'written communication skills', 'Timemanagement', 'Attention to detail', 'Typing', 'editing skills', 'Adobe', 'Microsoft Suite proficiency', 'Electronic Document Systems knowledge']"
Digital Marketing Executive,JBK Academy,1 to 5 Yrs,,Telangana,5,days,"['SEO SMM', 'SEM', 'Meta Ads', 'Google Ads']"
HR Recruiter/Coordinator,Rochem Seperation Systems,4 to 8 Yrs,,Maharashtra,5,days,"['Recruitment Talent Acquisition', 'Sourcing', 'Interviewing', 'Communication Skills', 'Interpersonal Skills', 'Relationship Building', 'Human Resources', 'Business Administration', 'Resume Screening', 'Recruiting Strategies', 'Candidate Databases', 'Applicant Tracking Systems ATS']"
HR Interns,ABHYANSH SHIPPING,0 to 4 Yrs,,Navi Mumbai,5,days,['HR Internship']
Procurement Officer - Prosthetic and orthotic materials,DGN INFOSOLUTION PVT. LTD.,3 to 7 Yrs,,Haryana,5,days,"['Procurement Supplier Selection', 'Negotiation', 'Order Management', 'Logistics Coordination', 'Inventory Management', 'Cost Management', 'Vendor Management', 'Quality Control', 'Quotation Management']"
Sales Engineer,Deepsikha Enterprises,0 to 4 Yrs,,All India,5,days,['MarketingMBA']
Lab Technician,Regenix Super Speciality Laboratories Pvt Ltd,1 to 5 Yrs,,Tiruchirappalli,5,days,"['Blood Collection Biochemistry', 'Haematology', 'Immunology', 'Diagnostic Lab Technician']"
Admissions Sales Representative,Accredian,1 to 5 Yrs,,Haryana,5,days,"['Inside Sales Communication Skills', 'CRM', 'Sales Targets', 'Outbound Calls', 'Sales Tools']"
Human Resource Business Partner (HRBP),Savitri Telecom Services,5 to 10 Yrs,,Delhi,5,days,"['HR Generalist Activities Strategic HR', 'HRBP', 'Business Partnering', 'HRIS', 'Corporate HR', 'HR Strategy', 'Business HR', 'HR Operations', 'HR Analytics', 'HR Policies']"
Frontend Developer,WallMantra,1 to 5 Yrs,,Delhi,5,days,"['JavaScript HTML', 'CSS', 'RESTful APIs', 'Git', 'Nextjs', 'React Native']"
Mathematics Specialist,Mentor Match,3 to 7 Yrs,,All India,5,days,"['Online teaching Communication', 'Laptop', 'Math teaching', 'SABIS curriculum', 'Pen tablet', 'Highspeed internet']"
Tool Room Engineer,Innovation and Automation (I&A),2 to 6 Yrs,,Gujarat,5,days,"['Lathe Milling', 'EDM', 'Laser welding', 'Polishing', 'Mold Maintenance', 'Machining of Mold', 'Design  Autocad', 'Design  Catia', 'Design  Solid work', 'Mold Flow analysis', 'Hot runner mold', 'Designdrawing', 'Ejector pins', 'Sleeves', 'Locating Ring', 'Sprue bush', 'Nozzles']"
IT Sales Executive,Hyfy neurons,1 to 5 Yrs,,Nagercoil,5,days,"['IT Sales Communication Skills', 'Sales Experience']"
Brand Promoter,Channelplay,1 to 5 Yrs,,Cuddalore,5,days,"['mobile sales RD', 'vivo', 'oppo', 'Realme', 'Nothing', 'Croma', 'Lenovo', 'Motorola', 'Xiaomi']"
Motion Graphics Designer,Tradologie.com,3 to 7 Yrs,,Noida,5,days,"['Motion Graphics Animation', 'After Effects', 'Cinema 4D', 'Graphic Design', 'Visual Effects', 'Storyboarding', 'Creative Visualization', 'Video Editing', 'Adobe Creative Suite', 'Photoshop', 'Illustrator', 'Conceptualizing', 'PostProduction', 'Premiere Pro']"
Sales and Customer Service Executive,Voitekk Softsol Pvt Ltd,0 to 3 Yrs,,Navi Mumbai,5,days,"['Sales Time Management', 'Outbound Calling', 'Lead Generation', 'Customer Service', 'Sales Pitching', 'Handling Client Queries', 'TargetOriented Approach']"
Talent Acquisition Executive,BNM Business Solutions,1 to 5 Yrs,,Navi Mumbai,5,days,"['Networking Social Media', 'Negotiation', 'Liaison', 'Salary Negotiation', 'Portals', 'Employee Referrals', 'Postings', 'Candidate Screening', 'Offer Letters']"
Accounts Assistant,Eaccountants Services,0 to 4 Yrs,,Thane,5,days,"['Sales Tax Bookkeeping', 'Financials', 'Preparing Returns']"
Assistant Manager Treasury,SnapSeaarch,2 to 6 Yrs,,Ahmedabad,5,days,"['Forex Treasury', 'SAP']"
"Video Creator, Editor, Content Creator, Catalogue",Zero Bills Energy,2 to 6 Yrs,,Noida,5,days,"['Video Production Motion Graphics', 'Multimedia', 'Video Editing', 'Video PostProduction']"
Sr Outbound Sales,NF Infratech Service Pvt. Ltd.,2 to 6 Yrs,,Haryana,5,days,"['Outbound Sales Customer Service', 'Communication']"
Head of Chemistry,G.S.Shetty International School,5 to 9 Yrs,,All India,5,days,"['Leadership Interpersonal skills', 'BachelorsMasters Degree in Chemistry', 'Thorough knowledge of teaching best practices', 'Excellent communication']"
"Executive Quality Control, Executive Quality Assurance",Meatwale,1 to 5 Yrs,,Ghaziabad,5,days,"['Quality Assurance Quality Control', 'Production', 'Manufacturing', 'Maintenance']"
Product Supervisor,Apis India,1 to 5 Yrs,,All India,5,days,"['Supervise  coordinate daily production operations', 'Monitor production processes', 'Ensure product quality', 'adherence to safety standards', 'Troubleshoot production issues', 'Train', 'manage production staff', 'Maintain accurate production records', 'reports']"
Sales Team Lead,Eyemantra,3 to 7 Yrs,,All India,5,days,"['Team management Communication', 'Analytical', 'Optical sales', 'Strong leadership', 'Interpersonal', 'Sales strategies development', 'CRM software proficiency', 'Microsoft Office Suite proficiency', 'Sales reporting tools proficiency', 'Healthcare sales', 'Eye care products knowledge']"
Accounts and Finance Manager,KANNAN TOOLS AND DIES,1 to 10 Yrs,,Coimbatore,5,days,"['Accounting Finance', 'CA', 'ICW', 'MBA']"
Technical Content Writer,Elysian Intelligence Business Solutions (EIBS),3 to 7 Yrs,,Madurai,5,days,"['Research  technical specifications', 'GOOD COMMUNICATIONVERBAL', 'Expertlevel English writing', 'communication skills', 'Detailoriented perfectionist mindset', 'Proven technical writing', 'editing skills', 'Superior command of the English language including rules', 'usage', 'outline', 'write', 'edit content', 'Gather information from subjectmatter experts', 'develop', 'organize', 'write procedure manuals', 'process documentation']"
Executive Assistant to CEO,ACT SOLUTIONS (P) lTD,2 to 6 Yrs,,Thiruvananthapuram,5,days,"['Digital Marketing Client Relations', 'English', 'Malayalam', 'MS Office', 'Social Media', 'AI', 'Verbal', 'written skills']"
Associate Product Manager,Techpanion Solutions Pvt Ltd,1 to 5 Yrs,,Karnataka,5,days,"['Product Management Agile methodology', 'Scrum', 'Jira', 'Azure DevOps', 'Written communication', 'Verbal communication']"
Sales Consultants,Advaith Hyundai,0 to 12 Yrs,,All India,5,days,['SalesPassion for Automobiles']
Chief Content Officer,BISJHINTUS,2 to 6 Yrs,,All India,5,days,"['Content development Design', 'Adobe Creative Suite', 'Writing', 'Editing', 'Visual storytelling', 'Team management', 'AI tools', 'Canva', 'Figma', 'Content analytics']"
Front Desk Associate,Omji,1 to 5 Yrs,,Uttar Pradesh,5,days,"['Strong interpersonal skills Hospitality', 'Guest relations', 'Excellent communication skills', 'Basic computer literacy']"
Interior Design Internship,Alliance India Design Woods,0 to 4 Yrs,,Maharashtra,5,days,"['AutoCADSketch Up', 'design software']"
Sr. Sales Executive,Infra. Market,0 to 4 Yrs,,Maharashtra,5,days,"['Sales Customer Service', 'Product Knowledge', 'Coordination']"
AWS Devops Fresher,I2K2 Networks Private Limited,0 to 3 Yrs,,All India,5,days,"['AWS DevOps', 'Linux']"
Telecaller IT,Esight Business Solutions,1 to 5 Yrs,,Kochi,5,days,"['English Malayalam', 'Good communication skills']"
Accounts Executive and Warehouse Coordinator,DPRJ Universal,0 to 4 Yrs,,Maharashtra,5,days,"['credit control finance', 'accounting', 'GST', 'PI', 'PO', 'tax invoice', 'coordination skills', 'petty cash transactions', 'financial records', 'compliance requirements', 'basic accounting']"
Junior Accountant,Nectar Fresh Foods,3 to 7 Yrs,,Karnataka,5,days,['Tally ERPAccounting principles']
Internal Sales- Telecaller,HR Dynamo,1 to 5 Yrs,,All India,5,days,['Good communication Persuasion skills']
Accounts Executive,MSR India,2 to 6 Yrs,,Hyderabad,5,days,"['Tally Balance Sheet', 'Petty Cash Management', 'Sales Tax', 'Service Tax', 'Book keeping', 'Tax Audits', 'Preparing Annual Reports', 'Day to Day Accounts', 'Monthend', 'Yearend close process']"
Retail Sales Executive (Ethnic Wear),Meena Bazaar,3 to 7 Yrs,,Noida,5,days,"['Fashion Retail Styling', 'Sales', 'Customer Service', 'Merchandising', 'Ethnic Wear']"
Assistant Manager - HR,Vplak India Pvt ltd.,4 to 8 Yrs,,Haryana,5,days,"['HR policies Employee engagement', 'Recruitment', 'Compliance', 'Policy implementation', 'Performance management', 'Manpower planning', 'Organizational development', 'MS Office', 'HR software', 'Statutory regulations', 'HRMS tools']"
Airport Urgent  Airlines Ground Staff,Forex Global Services,0 to 4 Yrs,,All India,5,days,"['Customer ServiceGround Staff', 'Ticket Checker', 'Guard', 'Cabin Crew', 'Supervisor', 'Good Communication Skills']"
UI/UX Designer,riolabz,1 to 5 Yrs,,Kochi,5,days,"['Photoshop HTML5', 'CSS3', 'JQuery', 'JavaScript', 'Bootstrap', 'UIUX designing']"
Business Development Executive (BDE),Spirant Communication Pvt Ltd,2 to 6 Yrs,,Maharashtra,5,days,"['BDE Business', 'Marketing', 'MPharm', 'Communicationskills']"
Office Administrator and Receptionist,FyerX,1 to 5 Yrs,,Tamil Nadu,5,days,"['Office Administration Receptionist Duties', 'Communication', 'Interpersonal Skills', 'MS Office', 'Organizational Skills', 'Multitasking']"
Senior Software Developer,Asian Hires,5 to 9 Yrs,,Vadodara,5,days,"['Python SQL', 'ETL Tools', 'SSIS', 'Power BI', 'Git', 'Debugging', 'Profiling', 'Optimization', 'REST APIs', 'NoSQL databases', 'Asynchronous programming', 'Azure Data Factory', 'CICD workflows', 'Cloud platforms']"
International Sales Associate,Akolta Solutions Pvt Ltd,1 to 5 Yrs,,Haryana,5,days,"['Sales Telemarketing', 'English communication']"
Pet Groomer,Southpaw pet grooming,1 to 5 Yrs,,Madurai,5,days,"['Bathing Trimming', 'Animal Handling', 'Customer Service', 'Pet Grooming', 'Brushing', 'Nail Clipping', 'Ear Cleaning', 'Deshedding']"
Software Engineer C++/MFC for Hardware Integration,Mogi I/O : OTT/Podcast/Short Video Apps for you,4 to 9 Yrs,,Chennai,5,days,"['C MFC', 'Win32', 'Windows', 'STL', 'SQL', 'XML', 'data structures', 'algorithms', 'COM ports', 'USB devices', 'PCI cards', 'Ethernet networks', 'TCPIP Sockets', 'OOP principles']"
Audit Manager,Especia Associates LLP,2 to 6 Yrs,,All India,5,days,"['Accounting Standards Auditing', 'Balance Sheet', 'Companies Act', 'Audit Planning', 'Income Tax', 'GST', 'PF', 'Policies', 'SOPs', 'Scrutiny', 'MIS', 'Variance Analysis', 'Financial Statements', 'Tally', 'Oracle', 'SAP', 'JDE', 'MS Word', 'Excel', 'Powerpoint', 'Assurance Standards', 'Finalization of Annual Reports', 'Profit  Loss', 'Notes to Accounts', 'Audit Checklist', 'Internal Control Checklist', 'Internal Financial Control Reporting', 'Statutory Requirements', 'ESI', 'Internal Control System', 'Costsaving', 'Cost Maximization', 'Profit  Loss Account', 'Expense Forecasting', 'Regulatory Authorities', 'ERP systems']"
Accounts Officer,Upsilon Network,2 to 6 Yrs,,Kochi,5,days,"['Accounting Finance', 'MS Office', 'Tally']"
Backend Developer - NodeJS & AWS,TRDFIN Support Services Pvt Ltd,4 to 8 Yrs,,Delhi,5,days,"['AWS DynamoDB', 'API Gateway', 'FinTech', 'Git', 'Nodejs', 'Serverless', 'Lambda', 'REST APIs', 'CICD']"
Telesales Executive,Altruist technologies Pvt Ltd,0 to 4 Yrs,,Karnataka,5,days,"['Customer Service Telesales', 'Customer Support', 'Email Handling', 'Call Handling']"
Recruitment Consultant,Arise Solution Pvt Ltd,0 to 4 Yrs,,Ahmedabad,5,days,['Communication Skills Recruitment']
Associate Tax,Carelon Global Solutions India,3 to 7 Yrs,,Karnataka,5,days,"['Corporate Finance MS Office', 'Oracle', 'Communication Skills', 'Analytical Skills', 'Tax Audit', 'Direct', 'Indirect Taxation', 'Organizational Skills', 'Compliance Audit']"
Windows Software Engineer,Mogi I/O : OTT/Podcast/Short Video Apps for you,4 to 9 Yrs,,Chennai,5,days,"['C MFC', 'Win32', 'Windows', 'algorithms', 'performance optimization', 'STL', 'SQL', 'XML', 'data structures', 'COM ports', 'USB devices', 'PCI cards', 'Ethernet networks', 'multithreaded systems', 'TCPIP Sockets', 'OOP principles']"
Costing Assistant,V support Solutions,2 to 6 Yrs,,Tiruppur,5,days,"['preparing buyer garments costing sheets Proficiency in computer  Specifically Excel', 'Email communication skills', 'Ability to negotiate rates effectively']"
IBDP Coordinator,EH Jobs,2 to 6 Yrs,,Punjab,5,days,"['Teaching Communication skills', 'MYP', 'DP coordination', 'IB curriculum']"
GM Accounts Payable,Profile HR Consultants Pvt Ltd.,5 to 9 Yrs,,All India,5,days,"['Accounting Indian Accounting Standards', 'Taxation', 'Reconciliation', 'Automation', 'Data Analysis']"
Assistant Manager IT,Del Trade International Private Limited,5 to 10 Yrs,,All India,5,days,"['hardware support networking', 'security', 'IT systems', 'networks', 'cybersecurity', 'virtual platforms', 'WindowsAD', 'O365']"
Data Entry Operator,Prime Placement & HR Solution Pvt Ltd,1 to 5 Yrs,,Ahmedabad,5,days,"['Data Entry Collaboration', 'Digitize data', 'Maintain records', 'Data quality checks', 'Verify data']"
HUMAN RESOURCE MANAGER,Policlinica Jardim Camburi,5 to 9 Yrs,,Vellore,5,days,"['Recruitment Onboarding', 'Employee Relations', 'Employee Engagement', 'Performance Management', 'Compliance', 'Training', 'Development', 'Record Keeping', 'HR Policies', 'Documentation', 'Communication', 'Interpersonal Skills', 'Conflict Resolution', 'Legal Responsibilities', 'HR Systems', 'Crossborder HR Operations']"
Sr. Voice Support,Advenxa Pvt.Ltd,2 to 6 Yrs,,Kochi,5,days,"['Interpersonal skillsStrong communication', 'Problemsolving', 'Customerfocused']"
Graphics Designer,TCR Innovation,0 to 4 Yrs,,Navi Mumbai,5,days,"['graphic design visual concepts', 'concept development', 'audio concepts', 'creative ideas']"
Motion Graphic Designer - Internship (Only Fresher),Soft Mania,0 to 4 Yrs,,Coimbatore,5,days,"['Motion Design Motion Graphics', 'Video Production', 'Graphic Design', 'Graphics', 'Creative', 'Artistic Abilities', 'Teamwork', 'After Effects', 'DavinCi Resolve', 'Canva']"
Factory Store Keeper/Admin,Stainless Bolt Industries pvt ltd,1 to 5 Yrs,,Ahmedabad,5,days,"['Forklift OperationPacking', 'Unloading', 'Inventory Control', 'Management']"
Social Media Experts,KundKund Trading and Consultancy,1 to 5 Yrs,,Ghaziabad,5,days,"['social media campaignsocial media strategy', 'social media channels', 'social media KPIs', 'social media content']"
Customer Success Associate,Aatmanirbhar Facility Management Pvt.Ltd.,0 to 4 Yrs,,Nagpur,5,days,['Excellent communication skills Passion for customer service']
Sales Engineer for Construction Equipment,Her Second Innings,0 to 3 Yrs,,Chennai,5,days,['Customer Relationship ManagementSales Experience']
Intern Marcom,D Square Consulting Services Pvt Ltd,0 to 3 Yrs,,Karnataka,5,days,"['WordPress MS Office', 'SEO', 'Google Analytics', 'presentation skills', 'B2B advertising campaigns', 'B2C advertising campaigns', 'web content management tools', 'marketing campaigns on social media', 'verbal communication skills', 'written communication skills']"
Research and Developer,Dellizo,0 to 1 Yr,1.0  - 1.5 LPA,Chennai,5,days,"['python sql', 'research development']"
Risk Manager,Garima Interprises,4 to 9 Yrs,2.0  - 9 LPA,Hyderabad,5,days,"['facilities risk', 'healthcare', 'senior', 'manufacturing engineering', 'administrator', 'manager', 'financial', 'deputy', 'engineer', 'operational', 'analyst', 'junior', 'project']"
Accounts Executive,SG POWER PRODUCTS PRIVATE LIMITED,2 to 4 Yrs,3.0  - 3.5 LPA,Noida,5,days,"['accounting tally certified professional', 'accounts receivable', 'accounts payable']"
Team Leader - Presales,Sidharth Foundations and Housing Ltd,3 to 5 Yrs,"< 50,000  - 4.5 LPA",Chennai,5,days,['team management  team handling']
React Native - Senior Software Engineer,SCIENS SOFTWARE TECHNOLOGIES LLP,5 to 6 Yrs,4.5  - 7 LPA,Bangalore,5,days,"['azure devops', 'ios', 'api', 'rest', 'native', 'javascript', 'ful', 'react']"
Mep Design Engineer,Nexus Safety Solutions Pvt Ltd,4 to 9 Yrs,4.0  - 8 LPA,Bangalore,5,days,"['plumbing mechanical', 'mep design', 'construction projects', 'revit mep', 'autocad', 'cctv', 'fire fighting', 'electrical']"
Remote Contract Call Center Support Agent,CountriTech,1 to 5 Yrs,,All India,6,days,"['Verbal communication Customer support', 'Interpersonal skills', 'Call center']"
Sr. IT Manager,Raghunandan Insurance Brokers (P) Ltd.,4 to 8 Yrs,,Agra,6,days,"['Network infrastructure Switches', 'Routers', 'Firewalls', 'Network troubleshooting', 'Network design', 'Network monitoring', 'Documentation', 'Network security', 'Technical training', 'Information security', 'Firewall configuration', 'Communication skills', 'Interpersonal skills', 'Level 2 support', 'Networking equipment', 'Crossfunctional collaboration', 'Data protection', 'Industry trends', 'Financial services sector', 'Oncall support', 'Intrusion detection systems', 'Problemsolving']"
Business Analyst,Sofitgrow Solutions,1 to 5 Yrs,,Jaipur,6,days,"['communication skills WordPress', 'PHP', 'SQL', 'Magento', 'Android', 'Ios', 'Upwork', 'Freelancer', 'Guru', 'Aspnet']"
"API Automation, Web Automation, Java, Service virtualization",Technogen India Pvt. Ltd.,3 to 7 Yrs,,Delhi,6,days,"['DatabaseStrong API Automation', 'Strong Web Automation', 'Proficient in Java programming language', 'Service virtualization skill']"
Marketing Executive - Digital Marketing,Impact Design Cell,1 to 5 Yrs,,Nagpur,6,days,"['Marketing Digital Marketing', 'Social Media', 'SEO', 'Online Marketing']"
"Senior Specialist, Executive Escalations",Airbnb,3 to 7 Yrs,,Haryana,6,days,"['Conflict resolution Time management', 'Operational excellence', 'Strategic decisionmaking']"
HR Administrator,"Impact Tiles gallery(Cera, Jaguar, Orientbell)",2 to 6 Yrs,,Panchkula,6,days,['Recruitment Operations']
Meta Media Buyer,BeyondAds,2 to 6 Yrs,,Hyderabad,6,days,"['Media Buying Digital Marketing', 'Analytical Skills', 'Communication Skills', 'Campaign Performance Analysis', 'Budget Management', 'ROI Analysis', 'Landing Page Optimization', 'Facebook Ads', 'Ecommerce', 'Industry Trends Analysis', 'Ad Copy Testing', 'Targeting Optimization']"
Early Years Art Specialist,Fennies Nurseries,2 to 6 Yrs,,West Bengal,6,days,"['Art Teaching', 'Communication', 'Creativity', 'Organizational Skills', 'Promotional Skills']"
HVAC Design Engineer,"Clancy Global, Consulting Engineers for the Built Environment",3 to 7 Yrs,,Maharashtra,6,days,"['HVAC system design MEP services coordination', 'Heat load calculations', 'AutoCAD proficiency', 'Knowledge of HVAC codes', 'standards']"
E-commerce Associate,Vaibhav Global,0 to 3 Yrs,,Jaipur,6,days,"['Inventory management Pricing', 'Collaboration', 'Communication skills', 'MS Excel', 'Ecommerce', 'Product listings verification', 'Sales data analysis', 'Data analysis tools']"
Founder's Assistant,Cashworks,1 to 5 Yrs,,All India,6,days,"['Scheduling Time management', 'Written communication', 'Verbal communication', 'Strong organizational skills', 'Office software proficiency', 'Multitasking', 'Problemsolving']"
Account Executive,Jobsvale Rudram Placement,1 to 5 Yrs,,Rajkot,6,days,"['Account Management Compliance Assurance', 'Report Preparation', 'Tally Utilization', 'Budget Assistance']"
Human Resources (HR) Manager,Rx Solutions,3 to 7 Yrs,,Karnataka,6,days,"['Recruitment Talent Acquisition', 'Performance Management', 'Training', 'Employee Engagement', 'Culture Development', 'HR Compliance', 'Policies', 'Employee Relations', 'Conflict Resolution', 'HR Analytics', 'Communication', 'Interpersonal Skills', 'HRMS Platform Management', 'DataDriven DecisionMaking']"
Automation Engineer - Assembly / Machine Testing,Prime Placement,4 to 8 Yrs,,Ahmedabad,6,days,"['machine assembly automation systems', 'machine testing', 'electrical integration', 'machine wiring']"
Internship For Business Development,Gyanwave,0 to 4 Yrs,,All India,6,days,"['product development communication skills', 'product analysis', 'marketing strategies']"
Territory Head-Institutions and Malls,SnapSeaarch,3 to 7 Yrs,,Maharashtra,6,days,"['Institutional sales B2B Sales', 'Corporate Sales']"
Business Development Manager (BDM),Ventilia,2 to 6 Yrs,,Indore,6,days,"['Time management Strategic thinking', 'Good listening', 'probing skills', 'Quick learner', 'Engaging', 'confident personality', 'Selfmotivated', 'Team player', 'Prioritization', 'Travel Savvy']"
"Intern - Drafting, Sales, Marketing",Letsfin Tech Pvt Ltd,0 to 4 Yrs,,Delhi,6,days,"['Drafting Sales', 'Marketing', 'Interpersonal skills', 'Strong communication', 'Microsoft Office Suite']"
Field Sales Executive,Vishnu HR Solution,0 to 3 Yrs,,West Bengal,6,days,"['Valid Driving License Local Candidates', 'Fresher', '12th Pass']"
French Teacher - Secondary,Universal High School,0 to 3 Yrs,,All India,6,days,"['French Teaching', 'ICSE', 'Delf']"
Sales And Marketing Intern,GENIEMAMA IMPEX PRIVATE LIMITED,0 to 4 Yrs,,Telangana,6,days,"['Communication Customer Service', 'Sales', 'Training', 'Teamwork']"
Reasoning Annotations in General Medicine,TELUS Digital AI Data Solutions,0 to 4 Yrs,,All India,6,days,"['Analytical skills Creativity', 'Mathematical skills', 'Problemsolving skills', 'AI concepts', 'Machine learning concepts', 'Written communication skills']"
Admin + Sales,Affable Management Services,0 to 3 Yrs,,All India,6,days,"['Sales Front office management', 'ERP software', 'Documentation', 'Attendance Management', 'Petty cash management', 'Asset Management', 'Admin', 'Customer support Management', 'Office Supply Control', 'Maintaining office registers', 'Work allocation', 'Welcome mail to client', 'Maintain cash collection report', 'Maintain lost client report', 'Maintain D2F', 'Sales Report', 'D2F Document Collection', 'Maintain 3D Report', 'Maintain Ongoing Client Report']"
Frontend Developer,V support Solutions,2 to 6 Yrs,,Coimbatore,6,days,"['JavaScript HTML5', 'CSS', 'RESTful APIs', 'MySQL', 'NoSQL', 'GIT', 'Agile methodology', 'ReactJS', 'Redux', 'Redux Saga', 'Thunk', 'ES6', 'Flexbox', 'Nodejs']"
Sales & Partnerships Intern,drinque,0 to 4 Yrs,,All India,6,days,"['Sales Partnerships', 'Negotiation', 'Communication', 'Relationship Building', 'Cold Outreach']"
TECH SALES-SPECIALIST,REIZEND PRIVATE LIMITED,0 to 5 Yrs,,All India,6,days,"['Leadership Marketing Campaigns', 'Communication Skills', 'Negotiation Skills', 'Strategic Sales Planning', 'Prospecting', 'Relationship Building', 'Market Research', 'Analytical Skills', 'Content Writing', 'Branding', 'Positioning', 'Team Management', 'Interpersonal Skills', 'Sales Targets', 'Problemsolving']"
Web Designer & UI Developer,Wazeefa1 Technologies Private Limited,1 to 5 Yrs,,All India,6,days,"['HTML5 CSS3', 'jQuery', 'Bootstrap', 'Photoshop', 'Illustrator', 'Figma']"
Customer Care Associate,SUMERU INC,0 to 3 Yrs,,Bhopal,6,days,"['Customer Handling Sales', 'BDE', 'US Staffing']"
Office Assistant,greenex,0 to 4 Yrs,,All India,6,days,['Office Assistant']
AutoCAD SolidWorks Design Engineer,"Wilson Composites India, LLP",2 to 6 Yrs,,Maharashtra,6,days,"['SolidWorks AutoCAD', 'GDT', 'Microsoft Excel', 'Microsoft Word', 'FRP', 'Bluebeam', 'GFRC']"
Area Field Executive For Hardware Industry,ABP Empower,1 to 5 Yrs,,All India,6,days,"['Building Material Construction Site', 'Property', 'Field JOB', 'Building Materia', 'Architect', 'Builder', 'Contractor', 'Field Work Deal With Architect', 'Properties', 'Site Visitor', 'Site Surveyor', 'Real Estate']"
