Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Research Scientist,Needs Ayurveda Private Limited,4 to 9 Yrs,38  - 50 LPA,Chennai,1,month,"['analysis software', 'problem solving', 'statistical tools', 'computer science', 'laboratory techniques', 'critical thinking', 'data collection', 'domain expertise', 'scientific methodology']"
DOT NET Full Stack Developer,AKSHAY SOFTWARE TECHNOLOGIES PRIVATE LIMITED,2 to 5 Yrs,3.5  - 5 LPA,Chennai,1,month,"['asp.net c#', '.net framework', 'full stack developer', '.net application', '.net core']"
sales manager - Building material (wall Panel),Glan Management Consultancy,3 to 8 Yrs,"< 50,000  - 8 LPA",Ahmedabad,1,month,"['business development  wall panels', 'glass', 'tiles', 'building material', 'sales']"
People Cloud Customer Support,LTIMindtree Limited,3 to 5 Yrs,,Bangalore,1,month,['Campaign Operations']
Associate Architect/Interior Designer,Spacewise design Studio,4 to 7 Yrs,"< 50,000  - 4.5 LPA",Chennai,1,month,"['design conceptualization  communication skills', 'sketchup', 'autocad', 'architecture']"
account executive,Universal Consultant & Management Services,2 to 7 Yrs,"< 50,000  - 2.0 LPA",Kolkata,1,month,"['tally 9 tally', 'tally erp', 'billing', 'gst']"
Freelance Trainers for Software skills for reputed IT Company,KAMMS MANAGEMENT CONSULTANTS PRIVATE LIMITED,5 to 10 Yrs,12 LPA,Chennai,1,month,"['it sklls trainer', 'software skills']"
Home Loan Sales,Square Yards Consulting Private Limited,1 to 4 Yrs,3.0  - 6 LPA,Pune,1,month,"['home loans mortgage loans', 'sales', 'disbursement', 'housing loan', 'home', 'loan']"
Azure Data Engineer,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,4 to 8 Yrs,5  - 10 LPA,Bangalore,1,month,"['factory azure', 'python', 'sql', 'apache spark', 'data', 'pyspark', 'azure databricks', 'databricks', 'azure data engineer']"
"IT Helpdesk Executive, Bangalore - For Top IT Companies.",WHITE HORSE MANPOWER CONSULTANCY (P) LTD,1 to 6 Yrs,2.0  - 4.5 LPA,Bangalore,2,months,"['remote troubleshooting active directory', 'itil', 'windows support', 'software support', 'technical support', 'ticketing tools', 'it helpdesk', 'microsoft office support', 'helpdesk executive']"
Sales Executive,HADRS Recruitment Services LLP,0 to 2 Yrs,"< 50,000  - 4.0 LPA",Ahmedabad,2,months,"['market research  customer relationship management', 'negotiation skills', 'negotiation', 'quotations', 'quotation', 'proposal writing', 'lead generation', 'cold calling', 'b2b sales']"
Relationship Manager - Financial Advisor,Waterfront Capital,1 to 6 Yrs,,Maharashtra,2,months,"['Wealth Management Product Knowledge', 'People Skills', 'Client Advisory']"
Consultant Psychologist as Learning Support Assistant,Insighte,1 to 5 Yrs,,Karnataka,2,months,"['Special Education Counselling', 'Communication Skills', 'Shadow Teaching', 'Homecare Therapy', 'TEACCH Approach', 'Inclusive Education Practices', 'Observational Skills', 'Reporting Skills']"
Product Development Manager,Urban Platter,0 to 3 Yrs,,Maharashtra,2,months,"['Product Development Project Management', 'Market Research', 'Consumer Insights', 'Communication Skills', 'Analytical Skills', 'Creativity', 'Regulatory Standards', 'ProblemSolving', 'Passion for Product Innovation']"
Female Centre Admin,Dr. Aravind's IVF Fertility & Pregnancy Centre,3 to 7 Yrs,,All India,2,months,"['Coordination Budgeting', 'Financial planning', 'Regulatory requirements', 'Marketing strategies', 'Community outreach programs', 'Quality improvement initiatives', 'Patient retention programs', 'Knowledge of hospitalclinic operations']"
Purchase Officer (Female Only),Crown HR Services,3 to 7 Yrs,,Vadodara,2,months,"['Procurement Vendor Management', 'Cost Optimization', 'Risk Management', 'Market  Price Analysis', 'Purchase Order Processing', 'Inventory Coordination', 'Documentation  Reporting', 'Compliance  Quality']"
Telecaller in Technical Support,Adeeba e Services Pvt. Ltd.,1 to 5 Yrs,,Kolkata,2,months,"['Technical Support Printers', 'BPO', 'Sales', 'Computers', 'Router Support', 'Communication Skill', 'Call Closing']"
Cloud Solution Architect,SourcingXPress,4 to 8 Yrs,,Maharashtra,2,months,"['AWS DevOps', 'EMR', 'VPN', 'Organization', 'IAM', 'ECR', 'SonarQube', 'CloudFront', 'S3', 'VPC', 'EKS', 'EC2', 'CloudWatch', 'Kinesis', 'RedShift', 'Lambda', 'Code Commit', 'CodeBuild', 'CodePipeline', 'Secret Manager', 'SNS', 'Route53', 'FluxCD', 'Terraform', 'Prisma Cloud', 'Kong', 'site 247']"
